hsn,description,chapter,bcd_pct,sws_pct_of_bcd,igst_pct,cess_pct,igst_verification,bcd_verification,as_of
01011010,"Live horses, asses, mules and hinnies pure-bred breeding animals horses",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01011020,"Live horses, asses, mulesandhinnies pure-bred breeding animals asses",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01011090,"Live horses, asses, mules and hinnies pure-bred breeding animal s other",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01012100,Pure-bred bredding animals,1,30,10,12,0,cleartax-cbic-gst,chapter-default,2026-04-24
01012910,Horses for polo,1,30,10,12,0,cleartax-cbic-gst,chapter-default,2026-04-24
01012990,other,1,30,10,12,0,cleartax-cbic-gst,chapter-default,2026-04-24
01013010,Pure-bred breeding animals,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01013020,Livestock,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01013090,OTHER,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01019010,"Live horses, asses, mules and hinnies - other - horses for polo",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01019020,"Live horses, asses, mules and hinnies - other - asses, mules and hinnies as live stock",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01019030,Mules and hinnies as livestock,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01019090,"Live horses, asses, mules and hinnies - other - other",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01021010,ADULT,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01021020,"Live bovine animals - bulls - pure-bred breeding animals cows, adult",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01021030,"Live bovine animals- bulls - pure-bred breeding animals buffaloes, adult and calves",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01021090,Live bovine animals - bulls - pure-bred breeding animals other,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01022110,Bulls,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01022120,Cows,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01022910,Bulls,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01022990,Other including calves,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01023100,Pure-bred breeding animals,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01023900,Others,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01029010,Live bovine animals - other - bulls - adult,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01029020,"Live bovine animals - other - buffaloes, adult and calves",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01029090,Live bovine animals - other - other,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01031000,Live swine pure-bred breeding animals,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01039100,Live swine - other - weighing less than 50 kg.,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01039200,Live swine- other weighing 50kg. or more,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01041010,Sheep including lamb for breeding purpose,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01041090,Live sheep a nd goats sheep other,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01042000,Live sheep and goats goats,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01051100,Fowlsofthespeciesgallusdomesticus,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01051200,Turkeys,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01051300,Ducks,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01051400,Geese,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01051500,Guinea fowls,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01051900,OTHER,1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
01059200,"Live poultry, that is to say, fowls of the species gallus domesticus, ducks, geese, turkeys and guineafowls - other - fowls of the species gallus domesticus weighing not more than 2000g",1,30,10,0,0,cleartax-cbic-gst,chapter-default,2026-04-24
